skill,jobs_with_skill,avg_salary,avg_min_salary,avg_max_salary
data_visualization,2,165503.0,143913.0,187093.0
sql,3,165184.0,136537.0,193831.0
node_js,2,165024.5,132849.0,197200.0
machine_learning,4,160194.0,130572.25,189815.75
api,1,159492.5,121785.0,197200.0
java,4,157448.25,119055.5,195841.0
python,3,156766.83,118145.67,195388.0
react,3,149275.83,122704.33,175847.33
statistics,4,141659.75,110659.25,172660.25
javascript,4,125991.62,104232.0,147751.25
excel,1,101882.5,70623.0,133142.0
dashboard,1,66923.0,58193.0,75653.0
power_bi,0,,,
tableau,0,,,
r,0,,,
aws,0,,,
azure,0,,,
dynamodb,0,,,
etl,0,,,
